date,Region_Category,Forecast
2015-12-01,AAAAll,2058.838101212888
2016-01-01,AAAAll,3162.9085270260384
2016-02-01,AAAAll,1744.1909768938476
2016-03-01,AAAAll,2059.3010229302345
2016-04-01,AAAAll,2060.36170915585
2016-05-01,AAAAll,1972.482680954841
2016-06-01,AAAAll,1846.108381522378
2016-07-01,AAAAll,2151.959971338432
2016-08-01,AAAAll,1872.768734964083
2016-09-01,AAAAll,2014.0112033543805
2016-10-01,AAAAll,2296.4055573391643
2016-11-01,AAAAll,2043.693618904705
2015-12-01,AAABus,455.55263433165527
2016-01-01,AAABus,296.1898590727801
2016-02-01,AAABus,453.3714726155002
2016-03-01,AAABus,525.339287022726
2016-04-01,AAABus,459.2040763240983
2016-05-01,AAABus,554.7602408402748
2016-06-01,AAABus,498.8249232185846
2016-07-01,AAABus,604.1654402560752
2016-08-01,AAABus,583.2132691779802
2016-09-01,AAABus,557.5841071540553
2016-10-01,AAABus,612.3872568886075
2016-11-01,AAABus,584.6506542126215
2015-12-01,AAAHol,469.9027284353007
2016-01-01,AAAHol,1249.133058680668
2016-02-01,AAAHol,439.94188855996043
2016-03-01,AAAHol,468.5237399676502
2016-04-01,AAAHol,597.7945943769496
2016-05-01,AAAHol,455.87350969631524
2016-06-01,AAAHol,480.4201754765131
2016-07-01,AAAHol,527.2297826453039
2016-08-01,AAAHol,430.50486598897237
2016-09-01,AAAHol,486.33454706500567
2016-10-01,AAAHol,609.922477593071
2016-11-01,AAAHol,482.80261669756163
2015-12-01,AAAOth,140.87089905384957
2016-01-01,AAAOth,138.0605003122191
2016-02-01,AAAOth,151.308815100253
2016-03-01,AAAOth,207.6651772898401
2016-04-01,AAAOth,137.49879857571722
2016-05-01,AAAOth,201.9975795164973
2016-06-01,AAAOth,146.21194481848823
2016-07-01,AAAOth,171.90620336132983
2016-08-01,AAAOth,183.48039155787134
2016-09-01,AAAOth,248.11987764057244
2016-10-01,AAAOth,189.80449632407678
2016-11-01,AAAOth,214.35366767223846
2015-12-01,AAAVis,1012.5163625706584
2016-01-01,AAAVis,1479.3075151248927
2016-02-01,AAAVis,708.9771287937787
2016-03-01,AAAVis,848.4002933199495
2016-04-01,AAAVis,912.1339787121443
2016-05-01,AAAVis,787.3036261537702
2016-06-01,AAAVis,742.5127585162672
2016-07-01,AAAVis,869.493601416741
2016-08-01,AAAVis,715.3384473425322
2016-09-01,AAAVis,774.6475606071394
2016-10-01,AAAVis,904.0639200256543
2016-11-01,AAAVis,812.0205867947527
2015-12-01,AAAll,2487.379170808231
2016-01-01,AAAll,4133.292132321138
2016-02-01,AAAll,2078.6961126109295
2016-03-01,AAAll,2378.944477078801
2016-04-01,AAAll,2470.185175189917
2016-05-01,AAAll,2212.6410555821844
2016-06-01,AAAll,2134.2160272590068
2016-07-01,AAAll,2456.5780470474
2016-08-01,AAAll,2167.5007305863055
2016-09-01,AAAll,2318.5222263359683
2016-10-01,AAAll,2679.4194713530724
2016-11-01,AAAll,2378.4671141910712
2015-12-01,AABAll,392.5983168160127
2016-01-01,AABAll,937.8482199447353
2016-02-01,AABAll,284.4741276741474
2016-03-01,AABAll,326.2186876942145
2016-04-01,AABAll,352.52093839861027
2016-05-01,AABAll,202.8958327988969
2016-06-01,AABAll,241.9110097879077
2016-07-01,AABAll,232.11036171106207
2016-08-01,AABAll,231.3383155312365
2016-09-01,AABAll,256.7271384322941
2016-10-01,AABAll,314.2930132316594
2016-11-01,AABAll,264.1439216447847
2015-12-01,AABBus,23.879282235817275
2016-01-01,AABBus,28.552749145415646
2016-02-01,AABBus,21.98554145299433
2016-03-01,AABBus,52.29269964870731
2016-04-01,AABBus,30.59869085339641
2016-05-01,AABBus,24.513772844592754
2016-06-01,AABBus,20.192255118794236
2016-07-01,AABBus,20.31035620563849
2016-08-01,AABBus,20.543597199387467
2016-09-01,AABBus,34.74431191733244
2016-10-01,AABBus,20.39897220502251
2016-11-01,AABBus,23.83811772671552
2015-12-01,AABHol,162.54485759164876
2016-01-01,AABHol,648.3882330026966
2016-02-01,AABHol,140.18278986525132
2016-03-01,AABHol,116.50577364774362
2016-04-01,AABHol,171.57496232101852
2016-05-01,AABHol,64.4725876301875
2016-06-01,AABHol,89.49673937051439
2016-07-01,AABHol,95.02361599393643
2016-08-01,AABHol,78.69468193334845
2016-09-01,AABHol,86.65841175303704
2016-10-01,AABHol,144.66990189999763
2016-11-01,AABHol,100.30245519277273
2015-12-01,AABOth,8.240066194954846
2016-01-01,AABOth,19.405986074157926
2016-02-01,AABOth,7.855063774020176
2016-03-01,AABOth,8.119734219867889
2016-04-01,AABOth,11.566651522752682
2016-05-01,AABOth,7.2745039543489725
2016-06-01,AABOth,6.858076112773618
2016-07-01,AABOth,5.5282001810867625
2016-08-01,AABOth,6.574349497414494
2016-09-01,AABOth,8.715424386487122
2016-10-01,AABOth,9.96752590399877
2016-11-01,AABOth,11.323495371093712
2015-12-01,AABVis,182.45159295824587
2016-01-01,AABVis,230.63505739853753
2016-02-01,AABVis,102.67521555544558
2016-03-01,AABVis,95.51823654673917
2016-04-01,AABVis,124.86773565671868
2016-05-01,AABVis,89.1202683876031
2016-06-01,AABVis,107.14818352435917
2016-07-01,AABVis,107.69058321870845
2016-08-01,AABVis,106.00344153562209
2016-09-01,AABVis,98.0811623725085
2016-10-01,AABVis,119.54805727576246
2016-11-01,AABVis,115.7036268448676
2015-12-01,AABus,494.0452176135503
2016-01-01,AABus,338.77201857778994
2016-02-01,AABus,492.08078079361684
2016-03-01,AABus,615.6188469409911
2016-04-01,AABus,508.1623424675662
2016-05-01,AABus,602.6083924051463
2016-06-01,AABus,540.1817972949519
2016-07-01,AABus,645.4345508666684
2016-08-01,AABus,628.3752724210494
2016-09-01,AABus,619.3424401199313
2016-10-01,AABus,661.1900157539521
2016-11-01,AABus,628.267058015296
2015-12-01,AAHol,631.4319849305261
2016-01-01,AAHol,1883.2517030664349
2016-02-01,AAHol,579.173124372972
2016-03-01,AAHol,583.4112953251014
2016-04-01,AAHol,774.5907046472585
2016-05-01,AAHol,523.4011917504057
2016-06-01,AAHol,574.6099713549225
2016-07-01,AAHol,627.9399699702806
2016-08-01,AAHol,515.5711009888813
2016-09-01,AAHol,587.6220867778557
2016-10-01,AAHol,772.5566460097796
2016-11-01,AAHol,595.1342063752124
2015-12-01,AAOth,148.67865365962348
2016-01-01,AAOth,157.16326463729743
2016-02-01,AAOth,161.71579519038733
2016-03-01,AAOth,223.46068972388323
2016-04-01,AAOth,159.8595101432233
2016-05-01,AAOth,218.48989691811641
2016-06-01,AAOth,158.11943463182766
2016-07-01,AAOth,185.2183698535465
2016-08-01,AAOth,198.33792686446785
2016-09-01,AAOth,265.85722340305404
2016-10-01,AAOth,205.90501428212215
2016-11-01,AAOth,230.41219960722654
2015-12-01,AAVis,1192.05751929623
2016-01-01,AAVis,1709.4132361375573
2016-02-01,AAVis,812.5301842249934
2016-03-01,AAVis,944.7957239645326
2016-04-01,AAVis,1036.5118043862367
2016-05-01,AAVis,876.138568120681
2016-06-01,AAVis,848.0634202217241
2016-07-01,AAVis,978.95768981785
2016-08-01,AAVis,820.4071261859203
2016-09-01,AAVis,871.502712197729
2016-10-01,AAVis,1023.8077097147816
2016-11-01,AAVis,925.6830909513294
2015-12-01,AAll,7736.352971396901
2016-01-01,AAll,15628.850237623314
2016-02-01,AAll,6517.623692589281
2016-03-01,AAll,7396.43043998737
2016-04-01,AAll,9246.718894710593
2016-05-01,AAll,6849.821979730986
2016-06-01,AAll,6534.592193734041
2016-07-01,AAll,8053.33951805214
